Month,KPI1,KPI2,KPI3,Month_Name,year
1/1/2020,96,2.21,68.34,January,2020
2/1/2020,96,1.79,72.75,February,2020
3/1/2020,81,1.03,67.07,March,2020
4/1/2020,94,1.97,71.21,April,2020
5/1/2020,101,3.41,57.68,May,2020
6/1/2020,98,2.61,67.86,June,2020
7/1/2020,95,2.42,66.09,July,2020
8/1/2020,94,2.09,70.38,August,2020
9/1/2020,95,3.11,53.31,September,2020
10/1/2020,92,1.6,67.55,October,2020
11/1/2020,95,2.31,60.35,November,2020
12/1/2020,98,2.47,61.33,December,2020
1/1/2021,100,3.03,61.06,January,2021
2/1/2021,99,2.35,65.23,February,2021
3/1/2021,95,2.47,64.02,March,2021
4/1/2021,96,1.94,70.11,April,2021
5/1/2021,94,2.54,68.16,May,2021
6/1/2021,94,3.17,54.38,June,2021
7/1/2021,94,2.79,64,July,2021
8/1/2021,93,2.05,66.13,August,2021
9/1/2021,97,3.34,55.17,September,2021
10/1/2021,95,2.44,64.03,October,2021
11/1/2021,96,2.31,64.12,November,2021
12/1/2021,98,2.57,60.42,December,2021
1/1/2022,101,3.33,58.41,January,2022
2/1/2022,99,3.19,59.77,February,2022
3/1/2022,96,2.78,61.32,March,2022
4/1/2022,96,2.91,60.18,April,2022
5/1/2022,95,2.49,63.07,May,2022
6/1/2022,95,2.31,63.11,June,2022
7/1/2022,96,2.43,61.03,July,2022
8/1/2022,96,3.13,59.97,August,2022
9/1/2022,95,2.81,61.53,September,2022
10/1/2022,96,2.07,64.16,October,2022
11/1/2022,97,3.11,57.29,November,2022
12/1/2022,98,3.21,57.18,December,2022
1/1/2023,99,3.17,58.22,January,2023
2/1/2023,99,3.39,57.12,February,2023
3/1/2023,98,3.03,59.45,March,2023
4/1/2023,96,2.73,62.57,April,2023
5/1/2023,94,2.89,62.89,May,2023
6/1/2023,96,2.55,63.69,June,2023
7/1/2023,95,2.42,64.93,July,2023
8/1/2023,95,2.03,66.77,August,2023
9/1/2023,98,2.56,65.96,September,2023
10/1/2023,98,3.07,60.44,October,2023
11/1/2023,99,2.99,61.76,November,2023
12/1/2023,99,3.03,60.32,December,2023
1/1/2024,99,3.09,60.67,January,2024
2/1/2024,98,3.15,59.14,February,2024
3/1/2024,94,2.33,63.55,March,2024
4/1/2024,95,2.01,66.19,April,2024
5/1/2024,95,1.79,67.01,May,2024
6/1/2024,95,1.98,66.53,June,2024
7/1/2024,96,2.51,65.87,July,2024
8/1/2024,96,2.63,65.46,August,2024
9/1/2024,97,2.71,65.71,September,2024
10/1/2024,98,2.97,64.02,October,2024
11/1/2024,98,2.84,64.13,November,2024
12/1/2024,100,2.81,65.08,December,2024
